Ticker,Company,Market Cap (Millions),5-Year Sales Growth,Debt/Equity,Profit Margin
AABA,Altaba Inc.,52438456,0.0372,0.04,-0.0414
ADBE,Adobe Systems Inc.,71934328,0.3885,0.26,0.1996
ADSK,Autodesk Inc.,23747022,-0.0833,1.49,-0.2866
AKAM,Akamai Technologies,8868231,1.0198,0.2,0.1351
ALXN,Alexion Pharm Inc.,28310278,2.9365,0.36,0.1294
AMD,Adv Micro Devices,13390934,-0.3496,3.45,-0.1163
AMZN,Amazon.Com Inc.,479767648,1.8285,0.4,0.0174
AN,Autonation Inc.,4001795,0.5622,0.7,0.0199
AZO,Autozone,16116689,0.3174,-2.75,0.1167
BIIB,Biogen Inc.,59881960,1.2677,0.54,0.3234
BRK.B,Berkshire Hath Hld B,412510016,0.5562,0,0.1077
BSX,Boston Scientific Corp.,38480140,0.1002,0.8,0.0414
CBG,CBRE Group Inc.,11943704,1.2135,0.83,0.0438
CELG,Celgene Corp.,104871936,1.3191,2.09,0.178
CERN,Cerner Corp.,22574976,1.1771,0.14,0.1327
CHK,Chesapeake Energy Corp.,4149880,-0.3234,-3.34,-0.5591
CHTR,Charter Communicatio,89186976,3.026,1.19,0.1214
CMG,Chipotle Mexican Grill,11901925,0.7203,0,0.0059
CNC,Centene Corp.,14497362,6.6035,0.79,0.0138
CRM,Salesforce.Com Inc.,63038956,2.7026,0.27,0.0214
CTXS,Citrix Systems Inc.,12305122,0.5493,0,0.1568
CXO,Concho Resources Inc.,17287962,-0.0603,0.36,-0.8945
DISCA,Discovery Comm A,9918061,0.5341,1.52,0.1838
DISCK,Discovery Comm Inc.,9637324,0.5341,1.52,0.1838
DISH,Dish Network Corp.,29766990,0.0745,3.35,0.0961
DLTR,Dollar Tree Inc.,15763554,2.1248,1.14,0.0433
DVA,Davita Healthcare Partners Inc.,12627594,1.1118,1.84,0.0597
EA,Electronic Arts Inc.,34323132,0.1694,0.24,0.1996
EBAY,Ebay Inc.,38498832,-0.2294,0.71,0.8092
ESRX,Express Scripts,38710028,1.1741,0.91,0.0339
ETFC,E*Trade Finl Corp.,9966363,-0.1375,0.24,0.2725
EVHC,Envision Healthcare Holdings,11360959,3.6971,0.78,-0.005
EW,Edwards Lifesciences Corp.,25207470,0.7656,0.31,0.1922
FB,Facebook Inc.,449420768,6.4476,0,0.3697
FCX,Freeport-Mcmoran Inc.,17014486,-0.2898,1.6,-0.291
FFIV,F5 Networks Inc.,8410353,0.7321,0,0.1834
FISV,Fiserv Inc.,26505026,0.2693,1.76,0.1689
FTI,Technipfmc Plc,12457953,-0.1092,0.35,0.0085
GOOG,Alphabet Class C,668294528,1.3815,0.03,0.2158
GOOGL,Alphabet Class A,682482752,1.3815,0.03,0.2158
HCA,Hca Holdings Inc.,31641454,0.3978,-5.53,0.0697
HOLX,Hologic Inc.,12916862,0.5831,1.42,0.1168
HSIC,Henry Schein Inc.,14610206,0.3565,0.26,0.0438
IDXX,Idexx Laboratories,14746883,0.4568,-5.48,0.1251
ILMN,Illumina Inc.,27050880,1.2722,0.46,0.1929
INCY,Incyte Corporation,27906056,10.7057,1.55,0.0943
ISRG,Intuitive Surg Inc.,34958948,0.539,0,0.2721
IT,Gartner Inc.,11211512,0.6645,10.91,0.0792
KMX,Carmax Inc.,11512001,0.5869,3.8,0.0395
KORS,Michael Kors Holdings Ltd,5506679,2.4507,0,0.123
LH,Laboratory Corporation of America Holdings,15510726,0.7397,0.96,0.0759
LKQ,LKQ Corp.,9948519,1.6252,0.95,0.0541
LVLT,Level 3 Communications,21705084,0.886,1,0.0828
MHK,Mohawk Industries,18319880,0.5879,0.2,0.1038
MNK,Mallinckrodt Plc Ordinary Share,4601892,-0.5895,1.18,-0.1846
MNST,Monster Beverage Cp,29520442,0.7904,0,0.2337
MTD,Mettler-Toledo International,15482705,0.0861,2.01,0.1532
MU,Micron Technology,35103216,0.4109,0.71,-0.0223
MYL,Mylan Nv Ord Shs,20919298,0.807,1.37,0.0433
NFLX,Netflix Inc.,68106624,1.7556,1.26,0.0211
NFX,Newfield Exploration Company,5485968,-0.4043,2.59,-0.8356
ORLY,O'Reilly Automotive,20027280,0.4844,1.16,0.1208
PCLN,Priceline Group,92102120,1.4665,0.63,0.1987
PWR,Quanta Services,4683239,0.6548,0.11,0.0259
PYPL,Paypal Holdings,65257396,NA,0,0.1292
QRVO,Qorvo Inc.,8889374,NA,0.2,-0.0055
REGN,Regeneron Pharmaceutical,54987008,9.9022,0.08,0.1842
RHT,Red Hat Inc.,17725590,1.1285,0.6,0.1052
RIG,Transocean Inc.,3163595,-0.5448,0.49,0.187
SNPS,Synopsys Inc.,11194898,0.5775,0,0.1101
SRCL,Stericycle Inc.,6555557,1.1254,1.02,0.0579
TDC,Teradata Corp.,3895287,-0.0169,0.55,0.0538
TDG,Transdigm Group Inc.,13947602,1.6296,-15.26,0.1849
TRIP,Tripadvisor Inc.,5219861,1.3232,0.06,0.0811
UA,Under Armour Inc Class C Comm,4327716,2.2766,0.39,0.0533
UAA,Under Armour,9296836,2.2766,0.39,0.0533
UAL,United Continental Holdings,23778792,-0.0149,1.24,0.0619
ULTA,Ulta Salon Cosmetic,17660560,1.7333,0,0.0844
URI,United Rentals,8855631,1.2068,4.36,0.0982
VAR,Varian Medical Systems,9654357,0.2392,0.16,0.125
VRSK,Verisk Analytics Inc.,13617402,0.4981,1.71,0.2963
VRSN,Verisign Inc.,9568886,0.4795,-1.03,0.3858
VRTX,Vertex Pharmaceutic,33250846,0.2067,0.03,-0.0658
WAT,Waters Corp.,14845019,0.1708,0.74,0.2406
